Algorithm,Run,Seed,Efficiency,Time,Feasible
Variable Neighborhood Search,20,1074497555,0.8916666666666666,5.183464050292969,True
Hill Climbing,22,392022359,0.8308333333333333,0.013698101043701172,True
Genetic Algorithm,18,1803345590,0.9183333333333333,11.836531400680542,True
Tabu Search,21,796282693,0.8991666666666666,5.03878116607666,True
Random Search,19,967196436,0.8783333333333333,8.6388521194458,True
Variable Neighborhood Search,21,796282693,0.8916666666666666,5.136175155639648,True
Local Search,21,796282693,0.905,5.48726749420166,True
Hill Climbing,23,1990212658,0.7967592592592592,0.009621858596801758,True
Tabu Search,22,392022359,0.8991666666666666,4.903179883956909,True
Genetic Algorithm,19,967196436,0.9183333333333333,11.605263948440552,True
Random Search,20,1074497555,0.8708333333333333,8.600452661514282,True
Local Search,22,392022359,0.8991666666666666,4.961769342422485,True
Variable Neighborhood Search,22,392022359,0.9183333333333333,5.19108772277832,True
Hill Climbing,24,1678403330,0.8279629629629629,0.0078125,True
Tabu Search,23,1990212658,0.8858333333333333,4.888272285461426,True
Random Search,21,796282693,0.8783333333333333,8.61574125289917,True
Local Search,23,1990212658,0.8737962962962962,4.873623609542847,True
Genetic Algorithm,20,1074497555,0.905,12.191529035568237,True
Variable Neighborhood Search,23,1990212658,0.905,4.997156381607056,True
Hill Climbing,25,1382689815,0.8042592592592591,0.015346765518188477,True
Genetic Algorithm,21,796282693,0.8899999999999999,11.383177518844604,True
Tabu Search,24,1678403330,0.8916666666666666,4.818722486495972,True
Random Search,22,392022359,0.8546296296296296,8.442856788635254,True
Local Search,24,1678403330,0.8991666666666666,4.83040976524353,True
Genetic Algorithm,22,392022359,0.8783333333333333,10.680691480636597,True
Hill Climbing,26,864178266,0.8366666666666666,0.01140594482421875,True
Variable Neighborhood Search,24,1678403330,0.8991666666666666,5.142340421676636,True
Tabu Search,25,1382689815,0.8858333333333333,5.1634979248046875,True
Random Search,23,1990212658,0.865,8.616140365600586,True
Local Search,25,1382689815,0.9391666666666666,5.083852529525757,True
Variable Neighborhood Search,25,1382689815,0.9391666666666666,5.17176079750061,True
